"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990845","adaptive thermogenesis","11/634","173/28891",0.00159945135305414,0.0380012603978723,0.0319499717083142,"16846/104158/18162/15107/23794/15183/11789/94187/107515/212933/12683",11
"GO:0032412","regulation of monoatomic ion transmembrane transporter activity","15/634","283/28891",0.0015998638483494,0.0380012603978723,0.0319499717083142,"14265/20193/14168/83814/23967/116873/13844/16523/11931/238871/235281/16497/16485/246317/18390",15
"GO:0009117","nucleotide metabolic process","22/634","497/28891",0.00162780875265945,0.0384490246158892,0.032326434329497,"21881/104158/13350/71207/170718/17995/15929/102247/208715/67273/14261/22245/71743/14571/218756/52815/68106/11931/319801/74080/18126/64059",22
"GO:0048706","embryonic skeletal system development","10/634","148/28891",0.00164110925259423,0.0384893206929371,0.0323603136931854,"14451/18514/231225/23967/15404/15490/170441/12393/17389/13392",10
"GO:0030336","negative regulation of cell migration","16/634","313/28891",0.00164772162852924,0.0384893206929371,0.0323603136931854,"72349/19646/242608/18003/15404/12667/54485/12552/17286/77125/11601/13134/13835/20855/13488/73608",16
"GO:0001818","negative regulation of cytokine production","16/634","314/28891",0.00170194358625307,0.0395374586960328,0.0332415470837282,"11433/16803/14114/19280/15183/107515/94185/13844/19401/79221/60533/73732/77125/170441/12683/231699",16
"GO:0048638","regulation of developmental growth","19/634","405/28891",0.00172355723699061,0.0396479420994183,0.0333344372030413,"16846/11606/105689/102247/56177/13046/19280/14168/15183/11789/13163/83814/20239/93960/22431/71406/67378/18213/15567",19
"GO:0090101","negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","10/634","149/28891",0.00172545443384413,0.0396479420994183,0.0333344372030413,"65112/19646/22057/12667/68777/235505/170441/12683/319922/278507",10
"GO:0032094","response to food","5/634","40/28891",0.00174694461800868,0.0399247667294093,0.0335671805121782,"16846/72759/67378/18752/18390",5
"GO:0048713","regulation of oligodendrocyte differentiation","6/634","59/28891",0.00183273896528516,0.0414375419530785,0.0348390626837489,"18606/94185/77125/212980/252864/13392",6
"GO:2000649","regulation of sodium ion transmembrane transporter activity","6/634","59/28891",0.00183273896528516,0.0414375419530785,0.0348390626837489,"14168/83814/23967/11931/235281/246317",6
"GO:1905954","positive regulation of lipid localization","9/634","126/28891",0.00188966284476089,0.042383886471915,0.0356347120987046,"104158/72759/14792/234564/11980/18442/12683/20608/211739",9
"GO:0045216","cell-cell junction organization","13/634","231/28891",0.00189728990561526,0.042383886471915,0.0356347120987046,"11606/17475/83814/13844/12552/233765/13823/54135/231830/12695/58187/73608/268729",13
"GO:0034763","negative regulation of transmembrane transport","10/634","151/28891",0.00190466850275871,0.042383886471915,0.0356347120987046,"16846/14265/100647/19218/72401/83814/23967/16511/13844/16497",10
"GO:0031400","negative regulation of protein modification process","21/634","473/28891",0.00198292433550659,0.0436665661348433,0.0367131389327704,"54612/11606/72349/97064/14114/94245/11789/13163/107895/24066/19099/13844/235505/231125/238871/68082/18213/18752/13835/13488/110893",21
"GO:1904729","regulation of intestinal lipid absorption","3/634","12/28891",0.00199577641279701,0.0436665661348433,0.0367131389327704,"16846/13350/14792",3
"GO:1905214","regulation of RNA binding","3/634","12/28891",0.00199577641279701,0.0436665661348433,0.0367131389327704,"14265/66603/67557",3
"GO:0006941","striated muscle contraction","11/634","178/28891",0.00200362200334901,0.0436665661348433,0.0367131389327704,"13400/14168/83814/16795/16511/16523/11931/238871/235281/20855/110893",11
"GO:0046496","nicotinamide nucleotide metabolic process","7/634","81/28891",0.0020276918702675,0.0439645191153384,0.0369636461316779,"21881/170718/15929/14261/14571/319801/74080",7
"GO:0030902","hindbrain development","11/634","179/28891",0.00209364458332615,0.0451629045831783,0.0379712017072631,"14451/19280/18845/94187/20239/218756/30928/76889/13844/69539/15567",11
"GO:0006163","purine nucleotide metabolic process","20/634","444/28891",0.00212469861867716,0.0455645986116696,0.0383089303170861,"21881/104158/13350/71207/170718/17995/15929/102247/208715/67273/14261/71743/14571/218756/52815/11931/319801/74080/18126/64059",20
"GO:0044773","mitotic DNA damage checkpoint signaling","7/634","82/28891",0.00217582856425421,0.0455645986116696,0.0383089303170861,"12450/76454/65964/17246/56190/76843/117229",7
"GO:0051965","positive regulation of synapse assembly","7/634","82/28891",0.00217582856425421,0.0455645986116696,0.0383089303170861,"68792/399558/13844/105827/18213/13048/245446",7
"GO:0001974","blood vessel remodeling","6/634","61/28891",0.00217692736981014,0.0455645986116696,0.0383089303170861,"18162/17246/54485/11601/18126/72780",6
"GO:0007528","neuromuscular junction development","6/634","61/28891",0.00217692736981014,0.0455645986116696,0.0383089303170861,"105689/16795/16523/19024/21923/231134",6
"GO:0010812","negative regulation of cell-substrate adhesion","6/634","61/28891",0.00217692736981014,0.0455645986116696,0.0383089303170861,"18606/14114/14538/24066/15404/11601",6
"GO:0106106","cold-induced thermogenesis","10/634","154/28891",0.00220138038576858,0.0457907688514371,0.0384990853984223,"16846/104158/18162/15107/23794/15183/11789/94187/107515/12683",10
"GO:0009308","amine metabolic process","9/634","129/28891",0.00222022412832181,0.0457907688514371,0.0384990853984223,"11669/56209/11789/22346/15186/20510/71562/13488/18948",9
"GO:1901890","positive regulation of cell junction assembly","9/634","129/28891",0.00222022412832181,0.0457907688514371,0.0384990853984223,"18606/11606/68792/399558/13844/105827/18213/13048/245446",9
"GO:0045732","positive regulation of protein catabolic process","12/634","208/28891",0.00227538189522573,0.046430819182494,0.0390372146540064,"14265/11789/83814/70797/218215/93960/17246/100494/80708/77125/76843/68854",12
"GO:0007254","JNK cascade","11/634","181/28891",0.0022835494039377,0.046430819182494,0.0390372146540064,"54612/72349/15183/13163/65964/19099/68082/245527/73608/21987/12374",11
"GO:0022898","regulation of transmembrane transporter activity","15/634","294/28891",0.00231164226380092,0.046430819182494,0.0390372146540064,"14265/20193/14168/83814/23967/116873/13844/16523/11931/238871/235281/16497/16485/246317/18390",15
"GO:0005977","glycogen metabolic process","7/634","83/28891",0.00233218167823657,0.046430819182494,0.0390372146540064,"110078/110095/14936/18682/228966/244416/241113",7
"GO:0007422","peripheral nervous system development","7/634","83/28891",0.00233218167823657,0.046430819182494,0.0390372146540064,"11606/14733/53881/225608/18213/16392/11876",7
"GO:0019362","pyridine nucleotide metabolic process","7/634","83/28891",0.00233218167823657,0.046430819182494,0.0390372146540064,"21881/170718/15929/14261/14571/319801/74080",7
"GO:0050927","positive regulation of positive chemotaxis","4/634","26/28891",0.00233911175162517,0.046430819182494,0.0390372146540064,"18213/18654/11876/12374",4
"GO:2000050","regulation of non-canonical Wnt signaling pathway","4/634","26/28891",0.00233911175162517,0.046430819182494,0.0390372146540064,"54612/93960/192199/72780",4
"GO:0051924","regulation of calcium ion transport","15/634","296/28891",0.00246573012706513,0.0486829597485917,0.0409307262537953,"14265/11606/20193/19218/116873/80708/11931/53376/238871/16392/20855/22065/13488/24115/12374",15
"GO:0043271","negative regulation of monoatomic ion transport","10/634","157/28891",0.00253417911271755,0.0486829597485917,0.0409307262537953,"14265/19218/83814/23967/80708/16511/13844/53376/16497/20855",10
"GO:0001542","ovulation from ovarian follicle","3/634","13/28891",0.00255242614976706,0.0486829597485917,0.0409307262537953,"16846/11606/238871",3
"GO:0032754","positive regulation of interleukin-5 production","3/634","13/28891",0.00255242614976706,0.0486829597485917,0.0409307262537953,"19401/77125/238871",3
"GO:0048537","mucosa-associated lymphoid tissue development","3/634","13/28891",0.00255242614976706,0.0486829597485917,0.0409307262537953,"19713/19885/11876",3
"GO:0048541","Peyer's patch development","3/634","13/28891",0.00255242614976706,0.0486829597485917,0.0409307262537953,"19713/19885/11876",3
