"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050807","regulation of synapse organization","14/375","309/28891",5.92121378539484e-05,0.00199560907848307,0.00169550545519201,"16560/107831/20616/272381/433485/18013/333605/19281/241263/22421/386750/170571/76965/238205",14
"GO:0007613","memory","10/375","164/28891",6.01887256978705e-05,0.00200147575853985,0.00170048989234826,"14799/232333/72961/16536/19049/20614/110891/12307/21823/108073",10
"GO:0021697","cerebellar cortex formation","5/375","33/28891",6.31300684696026e-05,0.00206853268875631,0.00175746266933966,"12286/16869/22421/16873/664805",5
"GO:0048167","regulation of synaptic plasticity","16/375","393/28891",6.41551358416516e-05,0.00206853268875631,0.00175746266933966,"12322/14799/107831/16536/16513/20614/110891/12307/14813/268755/12308/18013/723946/70441/108068/723936",16
"GO:0017156","calcium-ion regulated exocytosis","7/375","77/28891",6.46934842514003e-05,0.00206853268875631,0.00175746266933966,"241556/12286/19894/20614/80976/12570/20979",7
"GO:0021702","cerebellar Purkinje cell differentiation","4/375","18/28891",7.40099026838288e-05,0.00233646452270214,0.001985102386443,"12286/16869/16873/664805",4
"GO:0050954","sensory perception of mechanical stimulus","14/375","317/28891",7.77648296032219e-05,0.00236909964024881,0.00201282977074277,"16398/16536/80297/21418/268755/11829/14623/20265/29866/20674/723946/70441/751534/108073",14
"GO:0021517","ventral spinal cord development","6/375","55/28891",7.78934123898967e-05,0.00236909964024881,0.00201282977074277,"12286/18508/13131/20664/16869/18088",6
"GO:0099054","presynapse assembly","6/375","55/28891",7.78934123898967e-05,0.00236909964024881,0.00201282977074277,"12217/272381/22421/386750/76965/238205",6
"GO:0006865","amino acid transport","10/375","170/28891",8.13216245770133e-05,0.00244356785174784,0.00207609930594201,"12286/20511/232333/72961/20513/16513/22348/108068/108073/140919",10
"GO:0021924","cell proliferation in external granule layer","4/375","19/28891",9.27882178742031e-05,0.00272251547503838,0.00231309823629438,"171469/16869/16873/664805",4
"GO:0021930","cerebellar granule cell precursor proliferation","4/375","19/28891",9.27882178742031e-05,0.00272251547503838,0.00231309823629438,"171469/16869/16873/664805",4
"GO:0006821","chloride transport","8/375","110/28891",9.69008763277525e-05,0.00279611872768564,0.00237563288685739,"232333/72961/14394/14399/213788/14405/20495/140919",8
"GO:0007269","neurotransmitter secretion","10/375","174/28891",9.8660163607192e-05,0.00279611872768564,0.00237563288685739,"12286/12322/12889/19894/20614/20616/18191/20979/241263/22421",10
"GO:0099643","signal release from synapse","10/375","174/28891",9.8660163607192e-05,0.00279611872768564,0.00237563288685739,"12286/12322/12889/19894/20614/20616/18191/20979/241263/22421",10
"GO:2000179","positive regulation of neural precursor cell proliferation","7/375","83/28891",0.000104511038726524,0.0029168278565747,0.00247818953922461,"171469/12032/18508/242748/20674/16869/16873",7
"GO:0021587","cerebellum morphogenesis","6/375","58/28891",0.000105258423052014,0.0029168278565747,0.00247818953922461,"12286/13131/16869/22421/16873/664805",6
"GO:0008344","adult locomotory behavior","8/375","112/28891",0.000109966690611472,0.00301381237785726,0.00256058933719946,"12286/80297/16513/22771/14167/13131/20265/93688",8
"GO:0021516","dorsal spinal cord development","4/375","20/28891",0.000114800925825627,0.00302860196061232,0.00257315483337382,"16869/16873/18505/22255",4
"GO:0021534","cell proliferation in hindbrain","4/375","20/28891",0.000114800925825627,0.00302860196061232,0.00257315483337382,"171469/16869/16873/664805",4
"GO:0021694","cerebellar Purkinje cell layer formation","4/375","20/28891",0.000114800925825627,0.00302860196061232,0.00257315483337382,"12286/16869/16873/664805",4
"GO:0021515","cell differentiation in spinal cord","6/375","59/28891",0.000115905696010873,0.00302860196061232,0.00257315483337382,"12286/20664/16869/16873/18088/18505",6
"GO:0050890","cognition","15/375","371/28891",0.000116578102734075,0.00302860196061232,0.00257315483337382,"14799/232333/72961/16536/19049/20614/18508/110891/12307/268934/18191/18013/21823/241263/108073",15
"GO:0007611","learning or memory","14/375","331/28891",0.000122567801838329,0.0031513824513896,0.00267747135214927,"14799/232333/72961/16536/19049/20614/18508/110891/12307/268934/18191/18013/21823/108073",14
"GO:1904861","excitatory synapse assembly","5/375","38/28891",0.000126597813303885,0.00322178516714173,0.00273728676885844,"18164/272381/18191/22421/386750",5
"GO:0097120","receptor localization to synapse","7/375","87/28891",0.000140717668947407,0.00354494814499831,0.00301185186168134,"12322/12889/18164/20614/77531/18191/12300",7
"GO:0051938","L-glutamate import","5/375","39/28891",0.000143679937670635,0.00354789865891647,0.00301435867150587,"20511/72961/20513/16513/140919",5
"GO:1905606","regulation of presynapse assembly","5/375","39/28891",0.000143679937670635,0.00354789865891647,0.00301435867150587,"272381/22421/386750/76965/238205",5
"GO:0001708","cell fate specification","8/375","117/28891",0.000149116951715391,0.00364605566253124,0.00309775463161076,"18508/18996/17933/20664/20674/18088/18992/18424",8
"GO:0021575","hindbrain morphogenesis","6/375","62/28891",0.000153057637720463,0.00370607522791102,0.00314874833654872,"12286/13131/16869/22421/16873/664805",6
"GO:0003407","neural retina development","7/375","89/28891",0.000162298388010679,0.0038590542455638,0.00327872206825641,"59058/12307/16869/18012/11923/104382/170788",7
"GO:0021680","cerebellar Purkinje cell layer development","5/375","40/28891",0.000162470206810024,0.0038590542455638,0.00327872206825641,"12286/16869/16873/93688/664805",5
"GO:0098661","inorganic anion transmembrane transport","7/375","90/28891",0.000174050724751638,0.00409511799557156,0.00347928608664397,"232333/72961/14394/14399/213788/14405/20495",7
"GO:0006814","sodium ion transport","12/375","262/28891",0.000178542237063136,0.00416153588070524,0.00353571591941065,"232333/226999/72961/16536/80297/16525/110891/14167/20265/243616/20495/140919",12
"GO:0060041","retina development in camera-type eye","10/375","188/28891",0.000186045329697129,0.00429626900245037,0.00365018760896999,"59058/18508/12307/24013/20674/16869/18012/11923/104382/170788",10
"GO:0042886","amide transport","16/375","432/28891",0.000190260767250121,0.00435330599561285,0.00369864726677444,"20511/12889/72961/20513/16513/20614/18993/23957/18012/69952/108068/74591/20495/108073/140919/16522",16
"GO:0098656","monoatomic anion transmembrane transport","7/375","92/28891",0.000199619948306845,0.00452592864615701,0.00384531058317396,"20511/232333/14394/14399/213788/14405/20495",7
"GO:0048880","sensory system development","16/375","435/28891",0.000205636846599576,0.00462034500377786,0.00392552842299617,"59058/18508/12307/21418/18996/24013/20664/20674/21823/16869/18012/11923/104382/18424/170788/140919",16
"GO:0048709","oligodendrocyte differentiation","8/375","123/28891",0.000210572037871808,0.00468898805760973,0.00398384879921006,"16513/18508/20664/11923/18088/226115/18424/382867",8
"GO:0007612","learning","10/375","192/28891",0.00022055544729483,0.00486783438542748,0.00413579986403812,"232333/16536/19049/20614/110891/268934/18191/18013/21823/108073",10
"GO:0006820","monoatomic anion transport","9/375","157/28891",0.000222758946370203,0.00487334045830952,0.00414047792283673,"20511/232333/72961/14394/14399/213788/14405/20495/140919",9
"GO:1902476","chloride transmembrane transport","6/375","67/28891",0.00023532263579345,0.0051034317710336,0.00433596765082119,"232333/14394/14399/213788/14405/20495",6
"GO:0042063","gliogenesis","15/375","397/28891",0.000242534226538677,0.00521448587058155,0.00443032121617383,"171469/227325/16513/12032/18508/12570/13131/20664/11923/18088/226115/18992/18424/170788/382867",15
"GO:0022029","telencephalon cell migration","6/375","68/28891",0.000255306974455599,0.00544218456660055,0.00462377813386524,"12570/13131/18993/18992/54713/18183",6
"GO:0021692","cerebellar Purkinje cell layer morphogenesis","4/375","25/28891",0.000284762829307364,0.00601863132451327,0.00511353769309299,"12286/16869/16873/664805",4
"GO:0006835","dicarboxylic acid transport","7/375","98/28891",0.000295016225746756,0.00608074766125958,0.00516631285279008,"20511/72961/20513/16513/108068/108073/140919",7
"GO:0007405","neuroblast proliferation","7/375","98/28891",0.000295016225746756,0.00608074766125958,0.00516631285279008,"12032/18508/216739/20674/16873/11923/664805",7
