"Gene","group","Sample","Expression","is.outlier"
"Gfap","Pw_HFHS","CC2381RR",2,NA
"Gfap","Pw_HFHS","CC2508R",7,NA
"Gfap","Pw_HFHS","CC2559L",7,NA
"Gfap","Pw_HFHS","CC2560R",7,NA
"Il13ra2","Control","CC1698L",8,NA
"Il13ra2","Control","CC1699R",5,NA
"Il13ra2","Control","CC2968R",1,NA
"Il13ra2","Control","CC3441L",8,NA
"Il13ra2","Ctrl_HFHS","CC1752LR",6,NA
"Il13ra2","Ctrl_HFHS","CC1867R",70,NA
"Il13ra2","Ctrl_HFHS","CC3445R",234,NA
"Il13ra2","Ctrl_HFHS","CC4056R",19,NA
"Il13ra2","Ctrl_HFHS","CC4057LR",259,NA
"Il13ra2","Lact_HFHS","CC2962LR",71,NA
"Il13ra2","Lact_HFHS","CC3772L",89,NA
"Il13ra2","Lact_HFHS","CC3774LR",53,NA
"Il13ra2","Lact_HFHS","CC4164L",113,NA
"Il13ra2","Lact_HFHS","CC4272LR",27,NA
"Il13ra2","Lactation","CC2017LL",2,NA
"Il13ra2","Lactation","CC2565R",17,NA
"Il13ra2","Lactation","CC2566LR",8,NA
"Il13ra2","Lactation","CC4006R",20,NA
"Il13ra2","Lactation","CC4007LR",3,NA
"Il13ra2","Lactation","CC4113L",0,NA
"Il13ra2","Lactation","CC4114R",18,NA
"Il13ra2","Postweaning","CC2148R",323,NA
"Il13ra2","Postweaning","CC3920LR",12,NA
"Il13ra2","Postweaning","CC4058L",3,NA
"Il13ra2","Pw_HFHS","CC2379LR",24,NA
"Il13ra2","Pw_HFHS","CC2508R",4,NA
"Il13ra2","Pw_HFHS","CC2559L",7,NA
"Il13ra2","Pw_HFHS","CC2560R",12,NA
"Lep","Control","CC1643L",29414,NA
"Lep","Control","CC1698L",41254,NA
"Lep","Control","CC1699R",13335,NA
"Lep","Control","CC2968R",11738,NA
"Lep","Control","CC3441L",9992,NA
"Lep","Ctrl_HFHS","CC1752LR",21196,NA
"Lep","Ctrl_HFHS","CC1867R",64977,NA
"Lep","Ctrl_HFHS","CC3445R",77925,NA
"Lep","Ctrl_HFHS","CC4056R",13151,NA
"Lep","Ctrl_HFHS","CC4057LR",87427,NA
"Lep","Lact_HFHS","CC2962LR",61312,NA
"Lep","Lact_HFHS","CC3772L",75027,NA
"Lep","Lact_HFHS","CC3774LR",38065,NA
"Lep","Lact_HFHS","CC4164L",81313,NA
"Lep","Lact_HFHS","CC4272LR",59790,NA
"Lep","Lactation","CC2017LL",6315,NA
"Lep","Lactation","CC2565R",10556,NA
"Lep","Lactation","CC2566LR",13309,NA
"Lep","Lactation","CC4006R",12395,NA
"Lep","Lactation","CC4007LR",7654,NA
"Lep","Lactation","CC4113L",8885,NA
"Lep","Postweaning","CC2148R",71699,NA
"Lep","Postweaning","CC3920LR",16611,NA
"Lep","Postweaning","CC4058L",22192,NA
"Lep","Pw_HFHS","CC2379LR",23614,NA
"Lep","Pw_HFHS","CC2508R",11511,NA
