"Gene","group","Sample","Expression","is.outlier"
"D10Wsu102e","Lactation","CC4114R",501,NA
"D10Wsu102e","Postweaning","CC2148R",515,NA
"D10Wsu102e","Postweaning","CC3920LR",375,NA
"D10Wsu102e","Postweaning","CC4058L",493,NA
"D10Wsu102e","Pw_HFHS","CC2379LR",353,NA
"D10Wsu102e","Pw_HFHS","CC2508R",341,NA
"D10Wsu102e","Pw_HFHS","CC2559L",354,NA
"D10Wsu102e","Pw_HFHS","CC2560R",323,NA
"Klhl25","Control","CC1698L",317,NA
"Klhl25","Control","CC1699R",248,NA
"Klhl25","Control","CC2968R",157,NA
"Klhl25","Control","CC3441L",194,NA
"Klhl25","Ctrl_HFHS","CC1752LR",243,NA
"Klhl25","Ctrl_HFHS","CC1867R",275,NA
"Klhl25","Ctrl_HFHS","CC3445R",342,NA
"Klhl25","Ctrl_HFHS","CC4056R",116,NA
"Klhl25","Ctrl_HFHS","CC4057LR",388,NA
"Klhl25","Lact_HFHS","CC2962LR",341,NA
"Klhl25","Lact_HFHS","CC3772L",455,NA
"Klhl25","Lact_HFHS","CC3774LR",228,NA
"Klhl25","Lact_HFHS","CC4164L",562,NA
"Klhl25","Lact_HFHS","CC4272LR",360,NA
"Klhl25","Lactation","CC2017LL",150,NA
"Klhl25","Lactation","CC2565R",370,NA
"Klhl25","Lactation","CC2566LR",208,NA
"Klhl25","Lactation","CC4006R",175,NA
"Klhl25","Lactation","CC4007LR",250,NA
"Klhl25","Lactation","CC4113L",276,NA
"Klhl25","Lactation","CC4114R",250,NA
"Klhl25","Postweaning","CC2148R",310,NA
"Klhl25","Postweaning","CC3920LR",156,NA
"Klhl25","Postweaning","CC4058L",261,NA
"Klhl25","Pw_HFHS","CC2379LR",199,NA
"Klhl25","Pw_HFHS","CC2508R",202,NA
"Klhl25","Pw_HFHS","CC2559L",222,NA
"Klhl25","Pw_HFHS","CC2560R",196,NA
"Arntl","Control","CC1643L",306,NA
"Arntl","Control","CC1698L",175,NA
"Arntl","Control","CC1699R",88,NA
"Arntl","Control","CC2968R",77,NA
"Arntl","Control","CC3441L",177,NA
"Arntl","Ctrl_HFHS","CC1752LR",83,NA
"Arntl","Ctrl_HFHS","CC1867R",46,NA
"Arntl","Ctrl_HFHS","CC3445R",113,NA
"Arntl","Ctrl_HFHS","CC4056R",43,NA
"Arntl","Ctrl_HFHS","CC4057LR",144,NA
"Arntl","Lact_HFHS","CC2962LR",64,NA
"Arntl","Lact_HFHS","CC3772L",209,NA
"Arntl","Lact_HFHS","CC3774LR",72,NA
"Arntl","Lact_HFHS","CC4164L",191,NA
"Arntl","Lact_HFHS","CC4272LR",70,NA
"Arntl","Lactation","CC2017LL",18,NA
"Arntl","Lactation","CC2565R",111,NA
"Arntl","Lactation","CC2566LR",70,NA
"Arntl","Lactation","CC4006R",42,NA
"Arntl","Lactation","CC4007LR",14,NA
"Arntl","Lactation","CC4113L",94,NA
"Arntl","Lactation","CC4114R",110,NA
"Arntl","Postweaning","CC2148R",203,NA
"Arntl","Postweaning","CC3920LR",57,NA
"Arntl","Postweaning","CC4058L",78,NA
"Arntl","Pw_HFHS","CC2379LR",84,NA
"Arntl","Pw_HFHS","CC2508R",115,NA
"Arntl","Pw_HFHS","CC2559L",112,NA
"Arntl","Pw_HFHS","CC2560R",62,NA
