"Gene","p.adj_Control_vs_Ctrl_HFHS","p.adj_Lact_HFHS_vs_Lactation","p.adj_Postweaning_vs_Pw_HFHS","p.signif_Control_vs_Ctrl_HFHS","p.signif_Lact_HFHS_vs_Lactation","p.signif_Postweaning_vs_Pw_HFHS","n1_Control_vs_Ctrl_HFHS","n1_Lact_HFHS_vs_Lactation","n1_Postweaning_vs_Pw_HFHS","n2_Control_vs_Ctrl_HFHS","n2_Lact_HFHS_vs_Lactation","n2_Postweaning_vs_Pw_HFHS"
"Paqr9",0.137,0.000108,0.677,"ns","****","ns",5,5,3,5,7,5
"Ndufa10",0.169,0.0433,0.816,"*","**","ns",5,5,3,5,7,5
"Eci1",0.136,0.0301,0.735,"*","**","ns",5,5,3,5,7,5
"Fmo1",0.29,0.000525,0.362,"ns","****","ns",5,5,3,5,7,5
"Bcar3",0.697,0.000466,0.247,"ns","****","ns",5,5,3,5,7,5
"Fam20c",0.666,0.00944,0.521,"ns","**","ns",5,5,3,5,7,5
"Tspan17",0.837,0.0483,0.8,"ns","**","ns",5,5,3,5,7,5
"Gde1",0.0756,0.0165,0.438,"*","**","ns",5,5,3,5,7,5
"S100a1",0.0695,0.0172,0.807,"*","**","ns",5,5,3,5,7,5
"Uck1",0.0972,0.015,0.987,"*","**","ns",5,5,3,5,7,5
"Pcbp2",0.335,0.0448,0.37,"ns","**","ns",5,5,3,5,7,5
"Ephx1",0.209,0.0226,0.835,"ns","**","ns",5,5,3,5,7,5
"Klhl5",0.76,0.0297,0.759,"ns","**","ns",5,5,3,5,7,5
"Nat8l",0.196,0.000524,0.281,"ns","****","ns",5,5,3,5,7,5
"Isoc2a",0.057,0.0185,0.88,"*","**","ns",5,5,3,5,7,5
"Rbbp4",0.17,0.00955,0.677,"ns","**","ns",5,5,3,5,7,5
"Vldlr",0.247,0.0154,0.953,"ns","**","ns",5,5,3,5,7,5
"Hspa12a",0.735,0.00214,0.488,"ns","***","ns",5,5,3,5,7,5
"Olfm1",0.53,0.0175,0.211,"ns","**","ns",5,5,3,5,7,5
"Lpcat3",0.164,0.00107,0.0821,"ns","****","*",5,5,3,5,7,5
"Sept9",0.685,0.0214,0.661,"ns","**","ns",5,5,3,5,7,5
"Kpna4",0.916,0.0252,0.43,"ns","**","ns",5,5,3,5,7,5
"Sc5d",0.0757,0.00752,0.657,"*","***","ns",5,5,3,5,7,5
"Acadvl",0.197,0.008,0.921,"ns","**","ns",5,5,3,5,7,5
"Kmt5a",0.82,0.0371,0.82,"ns","**","ns",5,5,3,5,7,5
"Dbp",0.825,0.0231,0.78,"ns","**","ns",5,5,3,5,7,5
"Gys1",0.656,0.0317,0.537,"ns","**","ns",5,5,3,5,7,5
