"Gene","p.adj_Control_vs_Ctrl_HFHS","p.adj_Lact_HFHS_vs_Lactation","p.adj_Postweaning_vs_Pw_HFHS","p.signif_Control_vs_Ctrl_HFHS","p.signif_Lact_HFHS_vs_Lactation","p.signif_Postweaning_vs_Pw_HFHS","n1_Control_vs_Ctrl_HFHS","n1_Lact_HFHS_vs_Lactation","n1_Postweaning_vs_Pw_HFHS","n2_Control_vs_Ctrl_HFHS","n2_Lact_HFHS_vs_Lactation","n2_Postweaning_vs_Pw_HFHS"
"Celsr2",0.585,0.0219,0.106,"ns","**","*",5,5,3,5,7,5
"Accs",0.999,0.00557,0.274,"ns","***","ns",5,5,3,5,7,5
"Nt5c3b",0.358,0.0337,0.927,"ns","**","ns",5,5,3,5,7,5
"E2f1",0.769,0.00827,0.946,"ns","***","ns",5,5,3,5,7,5
"Tuba4a",0.0784,0.0314,0.0761,"*","**","*",5,5,3,5,7,5
"Zfp768",0.421,0.0447,0.209,"ns","**","ns",5,5,3,5,7,5
"Gabra3",0.968,0.0394,0.968,"ns","**","ns",5,5,3,5,7,5
"Tril",0.495,0.0329,0.321,"ns","**","ns",5,5,3,5,7,5
"Idi1",0.393,0.048,0.678,"ns","**","ns",5,5,3,5,7,5
"Thap3",0.453,0.026,0.763,"ns","**","ns",5,5,3,5,7,5
"Lrrc1",0.732,0.0327,0.291,"ns","**","ns",5,5,3,5,7,5
"Cd274",0.122,0.0185,0.122,"ns","**","ns",5,5,3,5,7,5
"Cdh11",0.447,0.00633,0.503,"ns","***","ns",5,5,3,5,7,5
"Spats2",0.132,0.0269,0.0866,"ns","**","*",5,5,3,5,7,5
"Meox2",0.207,0.000751,0.173,"ns","****","ns",5,5,3,5,7,5
"Kcnj8",0.73,0.0347,0.74,"ns","**","ns",5,5,3,5,7,5
"Phkg1",0.17,0.035,0.206,"ns","**","ns",5,5,3,5,7,5
"Oscp1",0.116,0.00134,0.413,"ns","****","ns",5,5,3,5,7,5
"Dmac2",0.988,0.038,0.864,"ns","*","ns",5,5,3,5,7,5
"Rbm38",0.558,0.0392,0.0903,"ns","**","*",5,5,3,5,7,5
"Lrrc27",0.525,0.000241,0.379,"ns","****","ns",5,5,3,5,7,5
"Erg",0.119,0.048,0.687,"ns","**","ns",5,5,3,5,7,5
"Cep89",0.112,0.0274,0.796,"*","**","ns",5,5,3,5,7,5
"Tmem53",0.179,0.00536,0.668,"ns","***","ns",5,5,3,5,7,5
"Wdr34",0.19,0.0249,0.673,"ns","**","ns",5,5,3,5,7,5
"Atp1b1",0.775,0.0144,0.947,"ns","***","ns",5,5,3,5,7,5
"Vit",0.586,0.00721,0.769,"ns","***","ns",5,5,3,5,7,5
"Bcl6b",0.641,0.019,0.641,"ns","**","ns",5,5,3,5,7,5
"Tpsb2",0.107,0.0131,0.706,"*","***","ns",5,5,3,5,7,5
"Muc16",0.989,0.0179,0.593,"ns","**","ns",5,5,3,5,7,5
"P2ry2",0.86,0.0123,0.895,"ns","***","ns",5,5,3,5,7,5
"Plekha7",0.131,0.0014,0.328,"ns","***","ns",5,5,3,5,7,5
"Oxld1",0.23,0.0445,0.478,"ns","**","ns",5,5,3,5,7,5
"Gm7694",0.629,0.0306,0.458,"ns","**","ns",5,5,3,5,7,5
"B3gnt9",0.19,0.00435,0.962,"ns","***","ns",5,5,3,5,7,5
"Mettl26",0.0704,0.00529,0.898,"*","***","ns",5,5,3,5,7,5
"Ppp1r3d",0.595,0.000927,0.714,"ns","****","ns",5,5,3,5,7,5
"Ccbe1",0.196,0.00549,0.719,"ns","***","ns",5,5,3,5,7,5
"Map9",0.113,0.047,0.782,"*","**","ns",5,5,3,5,7,5
"Klf14",0.902,0.0185,0.139,"ns","**","ns",5,5,3,5,7,5
"Kctd6",0.718,0.0249,0.927,"ns","**","ns",5,5,3,5,7,5
"Hlf",0.214,0.0393,0.514,"ns","**","ns",5,5,3,5,7,5
"Rims4",0.437,0.0402,0.895,"ns","**","ns",5,5,3,5,7,5
"Spaar",0.0852,0.0273,0.22,"*","**","ns",5,5,3,5,7,5
"Cd109",0.576,0.00955,0.802,"ns","***","ns",5,5,3,5,7,5
"Ccdc69",0.0768,0.0396,0.997,"*","**","ns",5,5,3,5,7,5
"Kcnj14",0.208,0.0186,0.576,"ns","**","ns",5,5,3,5,7,5
"Fam217b",0.639,0.00502,0.44,"ns","***","ns",5,5,3,5,7,5
"Dusp28",0.113,0.00142,0.99,"*","***","ns",5,5,3,5,7,5
"Pard6g",0.449,0.00226,0.307,"ns","***","ns",5,5,3,5,7,5
"Adamtsl1",0.987,0.00972,0.866,"ns","***","ns",5,5,3,5,7,5
"Sh3tc2",0.19,0.00548,0.878,"ns","***","ns",5,5,3,5,7,5
"Mcpt4",0.119,0.0161,0.43,"*","**","ns",5,5,3,5,7,5
"Gm9696",0.263,0.00592,0.975,"ns","***","ns",5,5,3,5,7,5
"Dusp9",0.584,0.00525,0.383,"ns","***","ns",5,5,3,5,7,5
"Ppfibp2",0.257,0.0122,0.528,"ns","***","ns",5,5,3,5,7,5
"Ppp1r3b",0.142,0.000584,0.234,"ns","****","ns",5,5,3,5,7,5
"Il33",0.75,0.0409,0.929,"ns","**","ns",5,5,3,5,7,5
"Tigar",0.099,0.0351,0.991,"*","**","ns",5,5,3,5,7,5
"Trim67",0.28,0.00553,0.28,"ns","***","ns",5,5,3,5,7,5
"Zfp366",0.394,0.0226,0.67,"ns","**","ns",5,5,3,5,7,5
"Prkag3",0.812,0.00724,0.635,"ns","***","ns",5,5,3,5,7,5
"Pik3ip1",0.209,0.0108,0.691,"ns","**","ns",5,5,3,5,7,5
"Usp54",0.744,0.0278,0.744,"ns","**","ns",5,5,3,5,7,5
"Pla2g2e",0.984,0.000361,0.655,"ns","****","ns",5,5,3,5,7,5
"Pm20d1",0.783,0.00713,0.415,"ns","***","ns",5,5,3,5,7,5
"B430219N15Rik",0.449,0.0352,0.314,"ns","**","ns",5,5,3,5,7,5
"Hsd17b7",0.35,0.00703,0.938,"ns","***","ns",5,5,3,5,7,5
"Leo1",0.872,0.0112,0.872,"ns","***","ns",5,5,3,5,7,5
"Zfyve28",0.18,0.00202,0.18,"ns","***","ns",5,5,3,5,7,5
"Usp2",0.746,0.00537,0.803,"ns","**","ns",5,5,3,5,7,5
"Duoxa1",0.509,0.0485,0.509,"ns","**","ns",5,5,3,5,7,5
"Bbs2",0.973,0.0313,0.795,"ns","**","ns",5,5,3,5,7,5
"Fam120aos",0.245,0.0234,0.804,"ns","**","ns",5,5,3,5,7,5
"Arhgef37",0.642,0.00818,0.404,"ns","***","ns",5,5,3,5,7,5
"Mrvi1",0.594,0.0342,0.797,"ns","**","ns",5,5,3,5,7,5
"Gm6277",0.408,0.00444,0.637,"ns","***","ns",5,5,3,5,7,5
"Nmnat3",0.226,6.78e-05,0.19,"ns","****","ns",5,5,3,5,7,5
"Pde7b",0.0745,0.000849,0.876,"*","****","ns",5,5,3,5,7,5
"Fam78b",0.291,0.0264,0.843,"ns","**","ns",5,5,3,5,7,5
"Rorc",0.836,0.00124,0.959,"ns","****","ns",5,5,3,5,7,5
"2310057M21Rik",0.988,0.0199,0.729,"ns","**","ns",5,5,3,5,7,5
"Slc10a6",0.841,0.0173,0.264,"ns","**","ns",5,5,3,5,7,5
"1700030K09Rik",0.297,0.0466,0.896,"ns","**","ns",5,5,3,5,7,5
"Col4a6",0.749,0.000895,0.749,"ns","****","ns",5,5,3,5,7,5
"Lamb3",0.257,0.0128,0.487,"ns","***","ns",5,5,3,5,7,5
"Tnc",0.286,0.0111,0.522,"ns","***","ns",5,5,3,5,7,5
"Pde4d",0.755,0.0487,0.645,"ns","**","ns",5,5,3,5,7,5
"Ddah1",0.519,0.0132,0.519,"ns","***","ns",5,5,3,5,7,5
"Dusp19",0.485,0.0458,0.342,"ns","**","ns",5,5,3,5,7,5
"Dkk3",0.801,0.0326,0.867,"ns","**","ns",5,5,3,5,7,5
"Bnc1",0.577,0.00211,0.745,"ns","***","ns",5,5,3,5,7,5
"B430212C06Rik",0.19,0.00157,0.73,"ns","***","ns",5,5,3,5,7,5
"Slc2a10",0.264,0.0107,0.577,"ns","***","ns",5,5,3,5,7,5
"Amigo2",0.86,0.00719,0.86,"ns","***","ns",5,5,3,5,7,5
"Gstt3",0.984,0.0072,0.768,"ns","***","ns",5,5,3,5,7,5
"Stmn2",0.161,0.0158,0.564,"ns","**","ns",5,5,3,5,7,5
"Steap2",0.886,0.0382,0.922,"ns","**","ns",5,5,3,5,7,5
"Fam217a",0.941,0.0324,0.573,"ns","**","ns",5,5,3,5,7,5
"Scn3b",0.173,0.00345,0.989,"ns","***","ns",5,5,3,5,7,5
"Tmem154",0.228,0.0343,0.91,"ns","**","ns",5,5,3,5,7,5
"2410022M11Rik",0.388,0.018,0.863,"ns","**","ns",5,5,3,5,7,5
"Hist2h3c2",0.578,0.0282,0.851,"ns","**","ns",5,5,3,5,7,5
"Cdca7l",0.134,0.00167,0.248,"ns","***","ns",5,5,3,5,7,5
"Bnc2",0.92,0.0399,0.413,"ns","**","ns",5,5,3,5,7,5
"Gm5578",0.653,0.0221,0.811,"ns","**","ns",5,5,3,5,7,5
"Fbxo44",0.368,0.0167,0.887,"ns","**","ns",5,5,3,5,7,5
"Slc1a4",0.941,0.0439,0.308,"ns","**","ns",5,5,3,5,7,5
"Gm7609",0.587,0.00806,0.587,"ns","**","ns",5,5,3,5,7,5
"Tfpi2",0.366,0.0179,0.986,"ns","**","ns",5,5,3,5,7,5
"Haus6",0.0646,0.0429,0.641,"*","**","ns",5,5,3,5,7,5
"Cidea",0.956,0.0182,0.956,"ns","**","ns",5,5,3,5,7,5
"Gm20632",0.463,0.00595,0.596,"ns","***","ns",5,5,3,5,7,5
"Fut10",0.52,0.0101,0.813,"ns","**","ns",5,5,3,5,7,5
"Mal2",0.192,0.0098,0.886,"ns","***","ns",5,5,3,5,7,5
"Angpt2",0.73,0.0431,0.415,"ns","**","ns",5,5,3,5,7,5
"Sox12",0.812,0.00233,0.748,"ns","***","ns",5,5,3,5,7,5
"Gm15433",0.968,0.0458,0.976,"ns","**","ns",5,5,3,5,7,5
"Epb41l3",0.388,0.0431,0.739,"ns","**","ns",5,5,3,5,7,5
"Trnp1",0.437,0.00147,0.237,"ns","***","ns",5,5,3,5,7,5
"Hist2h2be",0.464,0.0256,0.263,"ns","**","ns",5,5,3,5,7,5
"Egln3",0.0542,0.000207,0.803,"*","****","ns",5,5,3,5,7,5
"Timeless",0.52,0.0394,0.965,"ns","**","ns",5,5,3,5,7,5
"Csprs",0.914,0.0371,0.914,"ns","**","ns",5,5,3,5,7,5
"B930092H01Rik",0.98,0.0376,0.682,"ns","**","ns",5,5,3,5,7,5
"Crb2",0.48,0.0016,0.716,"ns","***","ns",5,5,3,5,7,5
"Fras1",0.723,0.0221,0.812,"ns","**","ns",5,5,3,5,7,5
"Mutyh",0.93,0.00593,0.283,"ns","***","ns",5,5,3,5,7,5
"Adgrg3",0.423,0.0449,0.798,"ns","**","ns",5,5,3,5,7,5
"Gemin2",0.184,0.00365,0.631,"ns","***","ns",5,5,3,5,7,5
"Ctf1",0.564,0.00988,0.564,"ns","**","ns",5,5,3,5,7,5
"Nos2",0.366,0.0257,0.49,"ns","**","ns",5,5,3,5,7,5
"Unc79",0.063,0.00256,0.592,"*","***","ns",5,5,3,5,7,5
"Pars2",0.703,0.0451,0.8,"ns","**","ns",5,5,3,5,7,5
"Mfap3l",0.0685,0.0415,0.851,"*","**","ns",5,5,3,5,7,5
"Lsr",0.586,0.0159,0.958,"ns","**","ns",5,5,3,5,7,5
"Dnm3",0.402,0.047,0.402,"ns","**","ns",5,5,3,5,7,5
"Ntrk3",0.801,0.0458,0.672,"ns","**","ns",5,5,3,5,7,5
"Kcnab1",0.948,0.0214,0.948,"ns","**","ns",5,5,3,5,7,5
"Zfp956",0.94,0.0445,0.506,"ns","**","ns",5,5,3,5,7,5
"Wfdc1",0.955,0.00723,0.955,"ns","***","ns",5,5,3,5,7,5
"Fam180a",0.802,0.0131,0.685,"ns","***","ns",5,5,3,5,7,5
"Hsf4",0.463,0.0467,0.407,"ns","**","ns",5,5,3,5,7,5
"Prkcg",0.737,0.0441,0.582,"ns","**","ns",5,5,3,5,7,5
"Fam19a5",0.211,0.00265,0.52,"ns","***","ns",5,5,3,5,7,5
"Zcchc3",0.0656,0.000118,0.686,"*","****","ns",5,5,3,5,7,5
"Pard6b",0.502,0.0222,0.702,"ns","**","ns",5,5,3,5,7,5
"Grid1",0.765,0.00146,0.233,"ns","****","ns",5,5,3,5,7,5
"Larp6",0.575,0.00108,0.887,"ns","****","ns",5,5,3,5,7,5
"Nos1ap",0.585,0.0477,0.518,"ns","**","ns",5,5,3,5,7,5
"Ism1",0.73,0.0467,0.73,"ns","**","ns",5,5,3,5,7,5
"Gm4912",0.929,0.014,0.929,"ns","***","ns",5,5,3,5,7,5
"2010300C02Rik",0.805,0.0226,0.994,"ns","**","ns",5,5,3,5,7,5
"Micall2",0.321,0.0119,0.358,"ns","***","ns",5,5,3,5,7,5
"Eda2r",0.953,0.0374,0.588,"ns","**","ns",5,5,3,5,7,5
"Akap17b",0.172,0.0409,0.732,"ns","**","ns",5,5,3,5,7,5
"Gm36827",0.575,0.0182,0.409,"ns","**","ns",5,5,3,5,7,5
"Cybrd1",0.75,0.0081,0.832,"ns","***","ns",5,5,3,5,7,5
"Patj",0.836,0.00761,0.73,"ns","***","ns",5,5,3,5,7,5
"Inka2",0.512,0.00149,0.462,"ns","***","ns",5,5,3,5,7,5
"Rab27b",0.295,0.0376,0.563,"ns","**","ns",5,5,3,5,7,5
"Cldn10",0.319,0.00686,0.548,"ns","***","ns",5,5,3,5,7,5
"Kazald1",0.472,2.77e-05,0.707,"ns","****","ns",5,5,3,5,7,5
"Neurl2",0.121,0.0363,0.604,"*","**","ns",5,5,3,5,7,5
"Lrrc29",0.935,0.0281,0.291,"ns","**","ns",5,5,3,5,7,5
"St14",0.212,0.000681,0.385,"ns","****","ns",5,5,3,5,7,5
"Mageb18",0.786,0.00798,0.786,"ns","***","ns",5,5,3,5,7,5
"4930578C19Rik",0.0601,0.0492,0.704,"*","**","ns",5,5,3,5,7,5
"Dach1",0.102,0.0101,0.998,"ns","***","ns",5,5,3,5,7,5
"Efna2",0.226,0.0309,0.562,"ns","**","ns",5,5,3,5,7,5
"Gm13703",0.874,0.00239,0.874,"ns","***","ns",5,5,3,5,7,5
"Tenm3",0.974,0.0439,0.974,"ns","**","ns",5,5,3,5,7,5
"Masp1",0.293,0.0452,0.396,"ns","**","ns",5,5,3,5,7,5
"Gtse1",0.111,0.00419,0.535,"ns","***","ns",5,5,3,5,7,5
"Baiap2l1",0.782,0.0192,0.947,"ns","**","ns",5,5,3,5,7,5
"Rpp25",0.155,0.00239,0.943,"ns","***","ns",5,5,3,5,7,5
"Exoc3l",0.767,0.0364,0.847,"ns","**","ns",5,5,3,5,7,5
"Chadl",0.0653,0.00451,0.262,"*","***","ns",5,5,3,5,7,5
"Itpka",0.673,0.03,0.15,"ns","**","ns",5,5,3,5,7,5
"Gm45902",0.787,0.0256,0.682,"ns","**","ns",5,5,3,5,7,5
"Cux2",0.523,0.0194,0.317,"ns","**","ns",5,5,3,5,7,5
"Itm2a",0.528,0.00481,0.245,"ns","***","ns",5,5,3,5,7,5
"Hdc",0.335,0.0343,0.335,"ns","**","ns",5,5,3,5,7,5
"Matn4",1,0.00505,1,"ns","***","ns",5,5,3,5,7,5
"Lzts1",0.386,0.0175,0.152,"ns","**","ns",5,5,3,5,7,5
"Gm9951",0.0662,0.0177,0.766,"*","**","ns",5,5,3,5,7,5
"Sytl1",0.252,0.00687,0.608,"ns","***","ns",5,5,3,5,7,5
"Fam89a",0.356,0.0117,0.172,"ns","**","ns",5,5,3,5,7,5
"Epha1",0.957,0.00537,0.729,"ns","***","ns",5,5,3,5,7,5
"Gata5",0.384,0.00145,0.85,"ns","****","ns",5,5,3,5,7,5
"Isl1",0.119,0.000728,0.954,"*","****","ns",5,5,3,5,7,5
"Ciart",0.207,0.0196,0.194,"ns","**","ns",5,5,3,5,7,5
"Tmem254c",0.88,0.00349,0.244,"ns","***","ns",5,5,3,5,7,5
"Ptchd4",0.39,0.0016,0.641,"ns","***","ns",5,5,3,5,7,5
"Phpt1",0.26,0.0348,0.95,"ns","**","ns",5,5,3,5,7,5
"Pdlim3",0.82,0.0166,0.961,"ns","**","ns",5,5,3,5,7,5
"Runx2",0.142,0.0375,0.732,"*","**","ns",5,5,3,5,7,5
"Klf8",0.442,0.00239,0.647,"ns","***","ns",5,5,3,5,7,5
"Dtl",0.062,0.0373,0.975,"*","**","ns",5,5,3,5,7,5
"Fosl1",0.67,0.0202,0.67,"ns","**","ns",5,5,3,5,7,5
"Pgf",0.294,0.0347,0.139,"ns","**","ns",5,5,3,5,7,5
"Gm13709",0.92,0.00253,0.889,"ns","***","ns",5,5,3,5,7,5
"Eva1c",0.464,0.0301,0.323,"ns","**","ns",5,5,3,5,7,5
"March9",0.946,0.0147,0.673,"ns","**","ns",5,5,3,5,7,5
"Hapln3",0.213,0.0237,0.442,"ns","**","ns",5,5,3,5,7,5
"Slc45a3",0.974,0.00334,0.343,"ns","***","ns",5,5,3,5,7,5
"Sv2a",0.963,0.0336,0.204,"ns","**","ns",5,5,3,5,7,5
"Me3",0.991,0.0463,0.991,"ns","**","ns",5,5,3,5,7,5
"1810021B22Rik",0.861,0.0053,0.899,"ns","***","ns",5,5,3,5,7,5
"Brd3os",0.44,0.0438,0.666,"ns","**","ns",5,5,3,5,7,5
"Slc1a1",0.57,0.0195,0.57,"ns","**","ns",5,5,3,5,7,5
"Aqp5",0.56,0.0403,0.995,"ns","**","ns",5,5,3,5,7,5
"Cadps2",0.702,0.0144,0.847,"ns","**","ns",5,5,3,5,7,5
"Vwc2",0.311,0.0126,0.926,"ns","***","ns",5,5,3,5,7,5
"Rsph9",0.294,0.0178,0.662,"ns","**","ns",5,5,3,5,7,5
"Slc6a4",0.248,0.0213,0.984,"ns","**","ns",5,5,3,5,7,5
"Slc39a4",0.761,0.0389,0.774,"ns","**","ns",5,5,3,5,7,5
"Lrrc4",0.934,0.00763,0.458,"ns","***","ns",5,5,3,5,7,5
"Capn6",0.779,0.00178,0.557,"ns","***","ns",5,5,3,5,7,5
"Lgi3",0.367,0.00112,0.367,"ns","****","ns",5,5,3,5,7,5
"Samd5",0.0654,0.0186,0.589,"*","**","ns",5,5,3,5,7,5
"Cfap99",0.475,0.00881,0.85,"ns","***","ns",5,5,3,5,7,5
"Gas2l2",0.103,0.0111,0.541,"*","***","ns",5,5,3,5,7,5
"Jakmip3",0.465,0.0306,0.0556,"ns","**","*",5,5,3,5,7,5
"Gm2666",0.814,0.0169,0.964,"ns","**","ns",5,5,3,5,7,5
"Wfikkn2",0.884,0.013,0.988,"ns","***","ns",5,5,3,5,7,5
"Clca2",0.615,0.0099,0.609,"ns","***","ns",5,5,3,5,7,5
"Foxo6",0.113,0.000519,0.549,"ns","****","ns",5,5,3,5,7,5
"Greb1l",0.794,0.0101,0.664,"ns","***","ns",5,5,3,5,7,5
"Fn3k",0.425,0.00297,0.895,"ns","***","ns",5,5,3,5,7,5
"Dok7",0.802,0.0258,0.834,"ns","**","ns",5,5,3,5,7,5
"Stc1",0.984,0.00281,0.564,"ns","***","ns",5,5,3,5,7,5
"Slc22a2",0.68,0.0153,0.874,"ns","**","ns",5,5,3,5,7,5
"Lpar2",0.368,0.00601,0.433,"ns","***","ns",5,5,3,5,7,5
"Mir6392",0.549,0.00845,0.836,"ns","**","ns",5,5,3,5,7,5
"Afmid",0.212,0.0443,0.67,"ns","**","ns",5,5,3,5,7,5
"Grb7",0.159,0.0318,0.777,"ns","**","ns",5,5,3,5,7,5
"Dusp15",0.518,0.0481,0.0976,"ns","**","*",5,5,3,5,7,5
"Gm9821",0.126,0.0461,0.634,"ns","**","ns",5,5,3,5,7,5
"mt-Tl1",0.893,0.0379,0.518,"ns","**","ns",5,5,3,5,7,5
"Trpc3",0.208,0.0327,0.58,"ns","**","ns",5,5,3,5,7,5
"Rassf6",0.947,0.00721,0.947,"ns","***","ns",5,5,3,5,7,5
"Adgrf4",0.214,0.00565,0.942,"ns","***","ns",5,5,3,5,7,5
"Gabrq",0.939,0.0384,0.939,"ns","**","ns",5,5,3,5,7,5
"Mfsd4b1",0.429,0.0298,0.659,"ns","**","ns",5,5,3,5,7,5
"Drd1",0.853,0.0184,0.166,"ns","**","*",5,5,3,5,7,5
"Tspan8",0.339,0.0262,0.468,"ns","**","ns",5,5,3,5,7,5
"Ctxn1",0.804,0.0259,0.73,"ns","**","ns",5,5,3,5,7,5
"Cfap100",0.547,0.0209,0.395,"ns","**","ns",5,5,3,5,7,5
"Teddm2",0.507,0.00977,0.61,"ns","***","ns",5,5,3,5,7,5
"Wdr86",0.896,0.0446,0.757,"ns","**","ns",5,5,3,5,7,5
"Dusp14",0.895,0.00237,0.895,"ns","***","ns",5,5,3,5,7,5
"Hydin",0.247,0.00405,0.622,"ns","***","ns",5,5,3,5,7,5
"Gm6658",0.0645,0.0318,0.377,"*","**","ns",5,5,3,5,7,5
"Gm27003",0.837,0.0225,0.959,"ns","**","ns",5,5,3,5,7,5
"Best1",0.469,0.0433,0.469,"ns","**","ns",5,5,3,5,7,5
"Vps37d",0.97,0.0393,0.553,"ns","**","ns",5,5,3,5,7,5
"Gm42847",0.659,0.000721,0.778,"ns","****","ns",5,5,3,5,7,5
"Tomm6os",0.537,0.036,0.545,"ns","**","ns",5,5,3,5,7,5
"Mpzl2",0.934,0.00222,0.655,"ns","***","ns",5,5,3,5,7,5
"Sstr4",0.851,0.043,0.982,"ns","**","ns",5,5,3,5,7,5
"Tmc5",0.177,0.0341,0.474,"ns","**","ns",5,5,3,5,7,5
"6430562O15Rik",0.137,0.0324,0.619,"*","**","ns",5,5,3,5,7,5
"2610020C07Rik",0.0747,0.0365,0.736,"*","**","ns",5,5,3,5,7,5
"Cc2d2b",0.0535,0.00162,0.403,"*","***","ns",5,5,3,5,7,5
"Alpk2",0.091,0.0012,0.564,"*","****","ns",5,5,3,5,7,5
"9530077C05Rik",0.346,0.00916,0.793,"ns","***","ns",5,5,3,5,7,5
"Ccser1",0.0633,0.0185,0.603,"*","**","ns",5,5,3,5,7,5
"Trp53cor1",0.0541,0.000316,0.372,"*","****","ns",5,5,3,5,7,5
"6430571L13Rik",0.2,0.00616,0.822,"ns","***","ns",5,5,3,5,7,5
"Gm15851",0.166,0.00236,0.832,"ns","***","ns",5,5,3,5,7,5
"Dpysl5",0.969,0.0482,0.528,"ns","**","ns",5,5,3,5,7,5
"Accsl",0.913,0.0226,0.547,"ns","**","ns",5,5,3,5,7,5
"2510046G10Rik",0.45,0.0235,0.45,"ns","**","ns",5,5,3,5,7,5
"Slc38a11",0.762,0.0076,0.864,"ns","***","ns",5,5,3,5,7,5
"AC110166.1",0.27,0.0149,0.27,"ns","***","ns",5,5,3,5,7,5
"Il31ra",0.915,0.0117,0.979,"ns","***","ns",5,5,3,5,7,5
"Mex3a",0.166,0.0386,0.43,"*","**","ns",5,5,3,5,7,5
"Fndc7",0.0636,0.0223,0.903,"*","**","ns",5,5,3,5,7,5
"Gm26569",0.597,0.0224,0.402,"ns","**","ns",5,5,3,5,7,5
"Rspo3",0.859,0.0128,1,"ns","***","ns",5,5,3,5,7,5
"Gm49124",0.451,0.0452,0.763,"ns","**","ns",5,5,3,5,7,5
"CAAA01141682.2",0.276,0.00744,0.944,"ns","***","ns",5,5,3,5,7,5
"Slc30a2",0.979,0.0353,0.908,"ns","**","ns",5,5,3,5,7,5
"5033417F24Rik",0.747,0.025,0.412,"ns","**","ns",5,5,3,5,7,5
"Kcna1",0.927,0.0389,0.63,"ns","**","ns",5,5,3,5,7,5
"Slc25a48",0.701,0.00642,0.455,"ns","***","ns",5,5,3,5,7,5
"1500015O10Rik",0.731,0.013,0.312,"ns","***","ns",5,5,3,5,7,5
"Gm20684",0.0797,0.033,0.713,"*","**","ns",5,5,3,5,7,5
"1300014J16Rik",0.509,0.0318,0.398,"ns","**","ns",5,5,3,5,7,5
"Ccdc136",0.701,0.0437,0.561,"ns","**","ns",5,5,3,5,7,5
"Nrtn",0.469,0.00751,0.426,"ns","***","ns",5,5,3,5,7,5
"Gm14409",0.633,0.0189,0.971,"ns","**","ns",5,5,3,5,7,5
"Cnksr1",0.833,0.00242,0.315,"ns","***","ns",5,5,3,5,7,5
"Pmfbp1",0.061,0.0156,0.329,"*","**","ns",5,5,3,5,7,5
"Gm24074",0.262,0.0238,0.851,"ns","**","ns",5,5,3,5,7,5
"Tuba8",0.196,0.0042,0.223,"ns","***","ns",5,5,3,5,7,5
"Sorcs1",0.794,0.0087,0.682,"ns","***","ns",5,5,3,5,7,5
"Sntg1",0.968,0.00601,0.572,"ns","***","ns",5,5,3,5,7,5
"Tceal5",0.128,0.0152,0.399,"ns","**","ns",5,5,3,5,7,5
"5430427N15Rik",0.219,0.0334,0.495,"ns","**","ns",5,5,3,5,7,5
"AC133103.2",0.843,0.0498,0.843,"ns","**","ns",5,5,3,5,7,5
"Slitrk4",0.928,0.00565,0.928,"ns","***","ns",5,5,3,5,7,5
"Gm15411",0.332,0.0251,0.552,"ns","**","ns",5,5,3,5,7,5
"Marveld3",0.825,0.00919,0.632,"ns","***","ns",5,5,3,5,7,5
"Zfp879",0.814,0.0285,0.55,"ns","**","ns",5,5,3,5,7,5
"Tpd52l1",0.562,0.028,0.544,"ns","**","ns",5,5,3,5,7,5
"Gm4952",0.107,0.0206,0.74,"*","**","ns",5,5,3,5,7,5
"Slc8a3",0.194,0.0318,0.678,"ns","**","ns",5,5,3,5,7,5
"Gm14221",0.208,0.00595,0.396,"ns","***","ns",5,5,3,5,7,5
"Gm11769",0.926,0.0145,0.926,"ns","***","ns",5,5,3,5,7,5
"Sh3bgr",0.898,0.00807,0.898,"ns","***","ns",5,5,3,5,7,5
"Gabra4",0.275,0.0433,0.157,"ns","**","ns",5,5,3,5,7,5
"Gm45889",0.213,0.0386,0.627,"ns","**","ns",5,5,3,5,7,5
"Gm29675",0.265,0.0468,0.962,"ns","**","ns",5,5,3,5,7,5
"Gm9845",0.947,0.027,0.954,"ns","**","ns",5,5,3,5,7,5
"Wdr31",0.523,0.000334,0.942,"ns","****","ns",5,5,3,5,7,5
"Gm45338",0.0887,0.00377,0.499,"*","***","ns",5,5,3,5,7,5
"Nek5",0.631,0.000193,0.226,"ns","****","ns",5,5,3,5,7,5
"Gm3636",0.299,0.0301,0.368,"ns","**","ns",5,5,3,5,7,5
"4632428C04Rik",0.598,0.00194,0.598,"ns","***","ns",5,5,3,5,7,5
"H60b",0.553,0.0304,0.384,"ns","**","ns",5,5,3,5,7,5
"Gm6682",0.667,0.0435,0.667,"ns","**","ns",5,5,3,5,7,5
"AC167363.1",0.633,0.00871,0.953,"ns","***","ns",5,5,3,5,7,5
"Vwa7",0.0922,0.0479,0.663,"*","**","ns",5,5,3,5,7,5
"C430049B03Rik",0.834,0.0296,0.834,"ns","**","ns",5,5,3,5,7,5
"Gm43458",0.219,0.0295,0.785,"*","**","ns",5,5,3,5,7,5
"Gm43123",0.819,0.027,0.673,"ns","**","ns",5,5,3,5,7,5
"Gm43924",0.0986,0.0219,0.485,"*","**","ns",5,5,3,5,7,5
"Gm45869",0.582,0.00636,0.646,"ns","***","ns",5,5,3,5,7,5
"Plek2",0.363,0.0436,0.363,"ns","**","ns",5,5,3,5,7,5
"Cpa5",0.218,0.00897,0.115,"ns","***","*",5,5,3,5,7,5
"Camkv",0.901,0.00635,0.766,"ns","***","ns",5,5,3,5,7,5
"Serpina3d-ps",0.219,0.0176,0.47,"ns","**","ns",5,5,3,5,7,5
