"Gene","group","Sample","Expression","is.outlier"
"Scd2","Pw_HFHS","CC2560R",14984,NA
"Scd3","Control","CC1643L",56,NA
"Scd3","Control","CC1698L",11,NA
"Scd3","Control","CC1699R",8,NA
"Scd3","Control","CC2968R",4,NA
"Scd3","Control","CC3441L",30,NA
"Scd3","Ctrl_HFHS","CC1752LR",18,NA
"Scd3","Ctrl_HFHS","CC3445R",95,NA
"Scd3","Ctrl_HFHS","CC4056R",38,NA
"Scd3","Ctrl_HFHS","CC4057LR",100,NA
"Scd3","Lact_HFHS","CC2962LR",81,NA
"Scd3","Lact_HFHS","CC3772L",57,NA
"Scd3","Lact_HFHS","CC4164L",101,NA
"Scd3","Lact_HFHS","CC4272LR",145,NA
"Scd3","Lactation","CC2565R",41,NA
"Scd3","Lactation","CC2566LR",31,NA
"Scd3","Lactation","CC4006R",26,NA
"Scd3","Lactation","CC4007LR",26,NA
"Scd3","Lactation","CC4113L",8,NA
"Scd3","Lactation","CC4114R",7,NA
"Scd3","Postweaning","CC2148R",10,NA
"Scd3","Postweaning","CC3920LR",19,NA
"Scd3","Postweaning","CC4058L",40,NA
"Scd3","Pw_HFHS","CC2379LR",83,NA
"Scd3","Pw_HFHS","CC2381RR",29,NA
"Scd3","Pw_HFHS","CC2508R",143,NA
"Scd3","Pw_HFHS","CC2559L",130,NA
"Scd3","Pw_HFHS","CC2560R",83,NA
"Acsl3","Control","CC1643L",171,NA
"Acsl3","Control","CC1698L",178,NA
"Acsl3","Control","CC1699R",213,NA
"Acsl3","Control","CC2968R",194,NA
"Acsl3","Control","CC3441L",194,NA
"Acsl3","Ctrl_HFHS","CC1752LR",270,NA
"Acsl3","Ctrl_HFHS","CC1867R",352,NA
"Acsl3","Ctrl_HFHS","CC3445R",447,NA
"Acsl3","Ctrl_HFHS","CC4056R",225,NA
"Acsl3","Ctrl_HFHS","CC4057LR",426,NA
"Acsl3","Lact_HFHS","CC2962LR",401,NA
"Acsl3","Lact_HFHS","CC3772L",451,NA
"Acsl3","Lact_HFHS","CC3774LR",402,NA
"Acsl3","Lact_HFHS","CC4164L",399,NA
"Acsl3","Lact_HFHS","CC4272LR",465,NA
"Acsl3","Lactation","CC2017LL",276,NA
"Acsl3","Lactation","CC2565R",298,NA
"Acsl3","Lactation","CC2566LR",248,NA
"Acsl3","Lactation","CC4006R",214,NA
"Acsl3","Lactation","CC4007LR",96,NA
"Acsl3","Lactation","CC4113L",86,NA
"Acsl3","Lactation","CC4114R",265,NA
"Acsl3","Postweaning","CC2148R",339,NA
"Acsl3","Postweaning","CC3920LR",221,NA
"Acsl3","Postweaning","CC4058L",149,NA
"Acsl3","Pw_HFHS","CC2379LR",322,NA
"Acsl3","Pw_HFHS","CC2381RR",358,NA
"Acsl3","Pw_HFHS","CC2508R",316,NA
"Acsl3","Pw_HFHS","CC2560R",277,NA
"Acsbg1","Control","CC1643L",27,NA
"Acsbg1","Control","CC1698L",20,NA
"Acsbg1","Control","CC1699R",21,NA
"Acsbg1","Control","CC2968R",13,NA
"Acsbg1","Control","CC3441L",15,NA
"Acsbg1","Ctrl_HFHS","CC1752LR",30,NA
"Acsbg1","Ctrl_HFHS","CC1867R",16,NA
"Acsbg1","Ctrl_HFHS","CC3445R",17,NA
"Acsbg1","Ctrl_HFHS","CC4056R",10,NA
"Acsbg1","Ctrl_HFHS","CC4057LR",38,NA
"Acsbg1","Lact_HFHS","CC2962LR",39,NA
"Acsbg1","Lact_HFHS","CC3772L",15,NA
"Acsbg1","Lact_HFHS","CC3774LR",13,NA
"Acsbg1","Lact_HFHS","CC4164L",25,NA
"Acsbg1","Lact_HFHS","CC4272LR",22,NA
"Acsbg1","Lactation","CC2017LL",24,NA
"Acsbg1","Lactation","CC2565R",36,NA
"Acsbg1","Lactation","CC2566LR",36,NA
"Acsbg1","Lactation","CC4006R",17,NA
"Acsbg1","Lactation","CC4007LR",43,NA
"Acsbg1","Lactation","CC4113L",33,NA
"Acsbg1","Lactation","CC4114R",22,NA
"Acsbg1","Postweaning","CC2148R",46,NA
"Acsbg1","Postweaning","CC3920LR",23,NA
"Acsbg1","Postweaning","CC4058L",289,NA
"Acsbg1","Pw_HFHS","CC2379LR",9,NA
"Acsbg1","Pw_HFHS","CC2381RR",18,NA
"Acsbg1","Pw_HFHS","CC2508R",10,NA
"Acsbg1","Pw_HFHS","CC2559L",14,NA
"Acsbg1","Pw_HFHS","CC2560R",14,NA
