"Gene","group","Sample","Expression","is.outlier"
"Gsg1l","Pw_HFHS","CC2560R",5,NA
"Syt13","Control","CC1643L",0,NA
"Syt13","Control","CC1698L",0,NA
"Syt13","Control","CC1699R",0,NA
"Syt13","Control","CC2968R",0,NA
"Syt13","Ctrl_HFHS","CC1867R",0,NA
"Syt13","Ctrl_HFHS","CC3445R",1,NA
"Syt13","Ctrl_HFHS","CC4056R",0,NA
"Syt13","Ctrl_HFHS","CC4057LR",1,NA
"Syt13","Lact_HFHS","CC2962LR",0,NA
"Syt13","Lact_HFHS","CC3772L",0,NA
"Syt13","Lact_HFHS","CC4164L",0,NA
"Syt13","Lact_HFHS","CC4272LR",0,NA
"Syt13","Lactation","CC2017LL",0,NA
"Syt13","Lactation","CC2565R",2,NA
"Syt13","Lactation","CC2566LR",0,NA
"Syt13","Lactation","CC4006R",1,NA
"Syt13","Lactation","CC4007LR",1,NA
"Syt13","Lactation","CC4113L",0,NA
"Syt13","Lactation","CC4114R",1,NA
"Syt13","Postweaning","CC2148R",11,NA
"Syt13","Postweaning","CC3920LR",0,NA
"Syt13","Postweaning","CC4058L",54,NA
"Syt13","Pw_HFHS","CC2379LR",1,NA
"Syt13","Pw_HFHS","CC2508R",0,NA
"Syt13","Pw_HFHS","CC2559L",2,NA
"Syt13","Pw_HFHS","CC2560R",2,NA
