"Gene","group","Sample","Expression","is.outlier"
"Ighv1-54","Pw_HFHS","CC2508R",0,NA
"Ighv1-54","Pw_HFHS","CC2559L",0,NA
"Ighv2-6","Control","CC1643L",0,NA
"Ighv2-6","Control","CC1698L",0,NA
"Ighv2-6","Control","CC1699R",0,NA
"Ighv2-6","Control","CC2968R",0,NA
"Ighv2-6","Control","CC3441L",0,NA
"Ighv2-6","Ctrl_HFHS","CC1867R",0,NA
"Ighv2-6","Ctrl_HFHS","CC3445R",0,NA
"Ighv2-6","Ctrl_HFHS","CC4056R",0,NA
"Ighv2-6","Ctrl_HFHS","CC4057LR",15,NA
"Ighv2-6","Lact_HFHS","CC2962LR",0,NA
"Ighv2-6","Lact_HFHS","CC3774LR",0,NA
"Ighv2-6","Lact_HFHS","CC4164L",0,NA
"Ighv2-6","Lact_HFHS","CC4272LR",0,NA
"Ighv2-6","Lactation","CC2017LL",0,NA
"Ighv2-6","Lactation","CC2565R",0,NA
"Ighv2-6","Lactation","CC2566LR",0,NA
"Ighv2-6","Lactation","CC4006R",0,NA
"Ighv2-6","Lactation","CC4007LR",0,NA
"Ighv2-6","Lactation","CC4113L",0,NA
"Ighv2-6","Lactation","CC4114R",0,NA
"Ighv2-6","Postweaning","CC2148R",1,NA
"Ighv2-6","Postweaning","CC3920LR",0,NA
"Ighv2-6","Postweaning","CC4058L",0,NA
"Ighv2-6","Pw_HFHS","CC2379LR",0,NA
"Ighv2-6","Pw_HFHS","CC2381RR",0,NA
"Ighv2-6","Pw_HFHS","CC2508R",0,NA
"Ighv2-6","Pw_HFHS","CC2559L",0,NA
