"Gene","group","Sample","Expression","is.outlier"
"Prdm1","Pw_HFHS","CC2379LR",18,NA
"Prdm1","Pw_HFHS","CC2381RR",67,NA
"Prdm1","Pw_HFHS","CC2508R",27,NA
"Prdm1","Pw_HFHS","CC2559L",71,NA
"Prdm1","Pw_HFHS","CC2560R",27,NA
"Tnfsf13","Control","CC1643L",43,NA
"Tnfsf13","Control","CC1698L",33,NA
"Tnfsf13","Control","CC1699R",34,NA
"Tnfsf13","Control","CC2968R",24,NA
"Tnfsf13","Control","CC3441L",18,NA
"Tnfsf13","Ctrl_HFHS","CC1752LR",61,NA
"Tnfsf13","Ctrl_HFHS","CC1867R",24,NA
"Tnfsf13","Ctrl_HFHS","CC3445R",45,NA
"Tnfsf13","Ctrl_HFHS","CC4056R",31,NA
"Tnfsf13","Ctrl_HFHS","CC4057LR",40,NA
"Tnfsf13","Lact_HFHS","CC2962LR",36,NA
"Tnfsf13","Lact_HFHS","CC4164L",33,NA
"Tnfsf13","Lact_HFHS","CC4272LR",36,NA
"Tnfsf13","Lactation","CC2017LL",45,NA
"Tnfsf13","Lactation","CC2565R",44,NA
"Tnfsf13","Lactation","CC2566LR",28,NA
"Tnfsf13","Lactation","CC4006R",29,NA
"Tnfsf13","Lactation","CC4007LR",40,NA
"Tnfsf13","Lactation","CC4113L",43,NA
"Tnfsf13","Lactation","CC4114R",26,NA
"Tnfsf13","Postweaning","CC2148R",51,NA
"Tnfsf13","Postweaning","CC3920LR",29,NA
"Tnfsf13","Postweaning","CC4058L",35,NA
"Tnfsf13","Pw_HFHS","CC2379LR",44,NA
"Tnfsf13","Pw_HFHS","CC2559L",54,NA
"Tnfsf13","Pw_HFHS","CC2560R",47,NA
