"Gene","group","Sample","Expression","is.outlier"
"Mycbp2","Ctrl_HFHS","CC1867R",4986,NA
"Mycbp2","Ctrl_HFHS","CC3445R",4136,NA
"Mycbp2","Ctrl_HFHS","CC4056R",1766,NA
"Mycbp2","Lact_HFHS","CC2962LR",7094,NA
"Mycbp2","Lact_HFHS","CC3772L",6826,NA
"Mycbp2","Lact_HFHS","CC3774LR",3379,NA
"Mycbp2","Lact_HFHS","CC4164L",5676,NA
"Mycbp2","Lact_HFHS","CC4272LR",4947,NA
"Mycbp2","Lactation","CC2017LL",1840,NA
"Mycbp2","Lactation","CC2565R",3039,NA
"Mycbp2","Lactation","CC2566LR",2709,NA
"Mycbp2","Lactation","CC4006R",1792,NA
"Mycbp2","Lactation","CC4007LR",1954,NA
"Mycbp2","Lactation","CC4113L",2144,NA
"Mycbp2","Lactation","CC4114R",3944,NA
"Mycbp2","Postweaning","CC2148R",3909,NA
"Mycbp2","Postweaning","CC3920LR",3408,NA
"Mycbp2","Postweaning","CC4058L",3359,NA
"Mycbp2","Pw_HFHS","CC2379LR",1345,NA
"Mycbp2","Pw_HFHS","CC2381RR",2513,NA
"Mycbp2","Pw_HFHS","CC2508R",1561,NA
"Mycbp2","Pw_HFHS","CC2559L",3148,NA
"Mycbp2","Pw_HFHS","CC2560R",1814,NA
"Slpi","Control","CC1643L",1173,NA
"Slpi","Control","CC1698L",2991,NA
"Slpi","Control","CC1699R",4026,NA
"Slpi","Control","CC2968R",1830,NA
"Slpi","Control","CC3441L",1274,NA
"Slpi","Ctrl_HFHS","CC1752LR",1500,NA
"Slpi","Ctrl_HFHS","CC1867R",925,NA
"Slpi","Ctrl_HFHS","CC3445R",1856,NA
"Slpi","Ctrl_HFHS","CC4056R",1169,NA
"Slpi","Ctrl_HFHS","CC4057LR",788,NA
"Slpi","Lact_HFHS","CC2962LR",1323,NA
"Slpi","Lact_HFHS","CC3772L",221,NA
"Slpi","Lact_HFHS","CC3774LR",901,NA
"Slpi","Lact_HFHS","CC4164L",322,NA
"Slpi","Lact_HFHS","CC4272LR",1172,NA
"Slpi","Lactation","CC2017LL",2393,NA
"Slpi","Lactation","CC2565R",671,NA
"Slpi","Lactation","CC2566LR",1277,NA
"Slpi","Lactation","CC4007LR",2718,NA
"Slpi","Lactation","CC4113L",2839,NA
"Slpi","Lactation","CC4114R",1908,NA
"Slpi","Postweaning","CC2148R",3267,NA
"Slpi","Postweaning","CC3920LR",1091,NA
"Slpi","Postweaning","CC4058L",810,NA
"Slpi","Pw_HFHS","CC2379LR",2708,NA
"Slpi","Pw_HFHS","CC2381RR",3122,NA
"Slpi","Pw_HFHS","CC2508R",2268,NA
"Slpi","Pw_HFHS","CC2559L",1673,NA
"Slpi","Pw_HFHS","CC2560R",2734,NA
"Csrp2","Control","CC1643L",348,NA
"Csrp2","Control","CC1698L",301,NA
"Csrp2","Control","CC2968R",512,NA
"Csrp2","Control","CC3441L",519,NA
"Csrp2","Ctrl_HFHS","CC1752LR",475,NA
"Csrp2","Ctrl_HFHS","CC1867R",244,NA
"Csrp2","Ctrl_HFHS","CC3445R",308,NA
"Csrp2","Ctrl_HFHS","CC4056R",465,NA
"Csrp2","Ctrl_HFHS","CC4057LR",390,NA
"Csrp2","Lact_HFHS","CC2962LR",371,NA
"Csrp2","Lact_HFHS","CC3772L",215,NA
"Csrp2","Lact_HFHS","CC3774LR",313,NA
"Csrp2","Lact_HFHS","CC4164L",276,NA
"Csrp2","Lact_HFHS","CC4272LR",345,NA
"Csrp2","Lactation","CC2017LL",1095,NA
"Csrp2","Lactation","CC2565R",555,NA
"Csrp2","Lactation","CC2566LR",468,NA
"Csrp2","Lactation","CC4006R",947,NA
"Csrp2","Lactation","CC4007LR",1361,NA
"Csrp2","Lactation","CC4113L",919,NA
"Csrp2","Lactation","CC4114R",507,NA
"Csrp2","Postweaning","CC2148R",700,NA
"Csrp2","Postweaning","CC3920LR",501,NA
"Csrp2","Postweaning","CC4058L",467,NA
"Csrp2","Pw_HFHS","CC2379LR",706,NA
"Csrp2","Pw_HFHS","CC2508R",641,NA
"Csrp2","Pw_HFHS","CC2560R",748,NA
